benchmark,mutation,status,num_predictions,num_reports,note,run_id
ByteDance-Seed/Multi-SWE-bench,gs,skipped,14,0,Known dataset loader schema incompatibility with current swebench/datasets versions,ByteDance-Seed_Multi-SWE-bench_gs_20260301_042429
ByteDance-Seed/Multi-SWE-bench,panic,skipped,14,0,Known dataset loader schema incompatibility with current swebench/datasets versions,ByteDance-Seed_Multi-SWE-bench_panic_20260301_042429
ByteDance-Seed/Multi-SWE-bench,unsafe,skipped,14,0,Known dataset loader schema incompatibility with current swebench/datasets versions,ByteDance-Seed_Multi-SWE-bench_unsafe_20260301_042429
ByteDance-Seed/Multi-SWE-bench,unwrap,skipped,14,0,Known dataset loader schema incompatibility with current swebench/datasets versions,ByteDance-Seed_Multi-SWE-bench_unwrap_20260301_042429
SWE-bench/SWE-bench_Multilingual,gs,ok,10,10,,SWE-bench_SWE-bench_Multilingual_gs_20260301_042429
SWE-bench/SWE-bench_Multilingual,panic,ok,10,10,,SWE-bench_SWE-bench_Multilingual_panic_20260301_044048
SWE-bench/SWE-bench_Multilingual,unsafe,ok,10,10,,SWE-bench_SWE-bench_Multilingual_unsafe_20260301_045337
SWE-bench/SWE-bench_Multilingual,unwrap,ok,10,10,,SWE-bench_SWE-bench_Multilingual_unwrap_20260301_050618
TuringEnterprises/SWE-Bench-plus-plus,gs,ok,3,3,"Normalized local dataset rows=3, inferred_versions=3",TuringEnterprises_SWE-Bench-plus-plus_gs_20260301_051845
TuringEnterprises/SWE-Bench-plus-plus,panic,ok,3,3,"Normalized local dataset rows=3, inferred_versions=3",TuringEnterprises_SWE-Bench-plus-plus_panic_20260301_052846
TuringEnterprises/SWE-Bench-plus-plus,unsafe,ok,3,3,"Normalized local dataset rows=3, inferred_versions=3",TuringEnterprises_SWE-Bench-plus-plus_unsafe_20260301_053543
TuringEnterprises/SWE-Bench-plus-plus,unwrap,ok,3,3,"Normalized local dataset rows=3, inferred_versions=3",TuringEnterprises_SWE-Bench-plus-plus_unwrap_20260301_054224
